Geneids	Series15_HealthyLungBiopsy_2	Series15_COVID19Lung_2	Series15_COVID19Lung_1
DDX11L1	0	0	0
WASH7P	261	0	0
FAM138A	0	0	0
FAM138F	0	0	0
OR4F5	0	0	0
LOC729737	15	17	0
LOC100132287	0	0	0
LOC100132062	0	0	0
LOC100133331	11	0	0
OR4F29	0	0	0
OR4F16	0	0	0
OR4F3	0	0	0
LOC100288069	4	0	0
LINC00115	51	0	0
FAM41C	0	0	0
SAMD11	25	0	0
NOC2L	1083	0	1
KLHL17	57	0	0
PLEKHN1	7	0	0
HES4	310	12	0
ISG15	1398	2231	324
AGRN	648	45	1
RNF223	0	0	0
C1orf159	153	0	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
TTLL10	11	0	0
TNFRSF18	60	2	0
TNFRSF4	51	8	0
SDF4	2091	49	8
B3GALT6	316	16	0
UBE2J2	1025	2	0
SCNN1D	57	0	0
ACAP3	241	0	0
PUSL1	105	2	0
TAS1R3	19	0	0
DVL1	308	1	0
MXRA8	1026	4	0
AURKAIP1	1900	22	1
CCNL2	4966	1	2
LOC148413	287	3	0
MRPL20	1496	4	6
ANKRD65	48	0	0
TMEM88B	0	0	0
VWA1	997	21	0
ATAD3C	103	3	0
ATAD3B	646	0	0
ATAD3A	297	0	0
TMEM240	35	0	0
SSU72	2621	117	5
MIB2	199	0	1
MMP23B	1	0	0
MMP23A	0	0	0
CDK11B	900	2	0
SLC35E2B	322	7	0
CDK11A	379	0	0
NADK	1312	120	10
GNB1	9491	716	53
CALML6	3	0	0
TMEM52	19	0	0
GABRD	24	0	0
PRKCZ	414	0	0
SKI	648	60	0
MORN1	58	0	0
LOC100129534	8	0	0
RER1	1787	61	0
PEX10	160	0	0
PLCH2	0	0	0
PANK4	300	0	0
HES5	4	0	0
TNFRSF14	1798	10	2
FAM213B	261	5	0
MMEL1	23	0	0
TTC34	0	0	0
ACTRT2	0	0	0
PRDM16	135	4	0
MIR4251	0	0	0
ARHGEF16	25	7	0
MEGF6	388	18	0
MIR551A	0	0	0
TPRG1L	1456	0	1
WRAP73	282	1	0
TP73	14	5	0
TP73-AS1	538	0	0
CCDC27	0	0	0
SMIM1	8	0	0
LRRC47	697	0	0
CEP104	194	0	0
DFFB	127	0	0
C1orf174	237	6	0
AJAP1	9	0	0
MIR4689	0	0	0
NPHP4	193	2	0
KCNAB2	559	0	0
CHD5	36	0	0
RPL22	7614	225	11
RNF207	78	0	0
ICMT	733	12	0
HES3	0	0	0
GPR153	204	0	0
ACOT7	682	8	0
HES2	34	0	0
ESPN	2	0	0
MIR4252	0	0	0
TNFRSF25	203	0	0
PLEKHG5	153	0	0
NOL9	356	12	0
TAS1R1	5	0	0
ZBTB48	468	5	0
KLHL21	722	3	1
PHF13	405	1	0
THAP3	317	5	0
DNAJC11	210	0	0
CAMTA1	1294	136	6
VAMP3	4273	74	4
PER3	378	0	0
UTS2	29	0	0
TNFRSF9	44	0	0
PARK7	3333	69	10
ERRFI1	2580	12	0
SLC45A1	74	0	0
RERE	2246	39	0
ENO1	15919	463	37
ENO1-AS1	3	0	0
CA6	0	0	0
SLC2A7	0	0	0
SLC2A5	62	0	0
GPR157	0	0	0
MIR34A	0	0	0
H6PD	1370	21	0
SPSB1	3018	59	3
SLC25A33	495	0	3
TMEM201	227	0	0
PIK3CD	374	22	0
CLSTN1	1445	18	1
CTNNBIP1	637	0	1
LZIC	155	5	0
NMNAT1	48	0	1
RBP7	452	6	4
UBE4B	617	15	0
KIF1B	906	39	3
PGD	2069	175	16
CORT	0	0	0
DFFA	303	4	2
PEX14	183	10	0
CASZ1	214	6	0
C1orf127	0	0	0
TARDBP	2308	34	0
MASP2	79	7	0
SRM	1098	67	3
EXOSC10	994	22	0
MTOR	631	14	0
MTOR-AS1	0	0	0
ANGPTL7	4	0	0
UBIAD1	365	0	0
FBXO2	47	2	0
FBXO44	265	0	0
FBXO6	237	19	4
MAD2L2	964	23	2
DRAXIN	0	0	0
AGTRAP	989	14	4
MTHFR	1013	1	0
CLCN6	375	0	0
NPPA-AS1	6	0	0
NPPA	10	0	0
NPPB	0	0	0
KIAA2013	599	9	0
PLOD1	1734	27	0
MFN2	1989	0	3
MIIP	324	1	2
TNFRSF8	53	0	0
TNFRSF1B	2716	40	8
MIR4632	0	0	0
VPS13D	970	2	0
SNORA59B	0	0	0
SNORA59A	0	0	0
DHRS3	998	42	1
AADACL4	0	0	0
AADACL3	0	0	0
C1orf158	0	2	0
PRAMEF12	0	0	0
PRAMEF1	0	0	0
PRAMEF11	0	0	0
HNRNPCL1	14	0	0
PRAMEF2	0	0	0
PRAMEF4	0	0	0
PRAMEF10	0	0	0
PRAMEF8	0	0	0
PRAMEF7	0	0	0
PRAMEF6	0	0	0
PRAMEF22	0	0	0
PRAMEF5	0	0	0
PRAMEF9	0	0	0
PRAMEF15	0	0	0
PRAMEF14	0	0	0
PRAMEF13	0	0	0
PRAMEF19	0	0	0
PRAMEF18	0	0	0
PRAMEF20	0	0	0
PRAMEF17	2	0	0
LRRC38	0	0	2
PDPN	861	104	10
PRDM2	770	0	1
KAZN	883	2	0
TMEM51-AS1	25	0	0
TMEM51	437	3	0
FHAD1	49	0	0
EFHD2	1622	262	10
CTRC	14	0	0
CELA2A	4	0	0
CELA2B	7	0	0
CASP9	476	1	0
DNAJC16	199	30	0
AGMAT	6	0	0
DDI2	13	0	0
RSC1A1	40	6	0
PLEKHM2	1352	1	0
SLC25A34	65	0	0
TMEM82	0	0	0
FBLIM1	1362	19	0
UQCRHL	103	3	0
FLJ37453	146	1	0
SPEN	1520	41	3
ZBTB17	1174	1	1
HSPB7	581	0	0
CLCNKA	20	0	0
CLCNKB	12	0	0
FAM131C	0	0	0
EPHA2	747	15	0
ARHGEF19	284	4	0
FBXO42	304	9	0
SZRD1	3062	86	7
SPATA21	5	0	0
NECAP2	1771	36	1
CROCCP3	66	0	0
MIR3675	0	0	0
NBPF1	127	0	0
CROCCP2	435	12	0
MST1P2	22	0	0
ESPNP	0	0	0
MST1L	4	0	0
CROCC	285	0	0
MFAP2	123	0	0
ATP13A2	231	3	0
SDHB	1395	18	5
PADI2	123	131	13
PADI1	0	0	0
PADI3	8	0	0
PADI4	193	26	8
PADI6	0	0	0
RCC2	1715	15	1
ARHGEF10L	336	0	0
ACTL8	0	0	0
IGSF21	42	0	0
KLHDC7A	10	0	0
PAX7	0	0	0
TAS1R2	0	0	0
ALDH4A1	297	0	0
MIR4695	0	0	0
IFFO2	393	6	0
UBR4	1958	60	3
EMC1	588	18	2
MRTO4	1178	23	1
AKR7L	32	0	0
AKR7A3	26	0	0
LOC100506730	44	0	0
AKR7A2	944	5	0
PQLC2	202	1	0
CAPZB	5739	574	54
MINOS1	1237	113	2
NBL1	36	0	0
HTR6	0	0	0
TMCO4	219	0	0
RNF186	0	0	0
OTUD3	247	0	0
PLA2G2E	0	0	0
PLA2G2A	1880	18	4
PLA2G5	181	3	0
PLA2G2D	22	0	0
PLA2G2F	0	0	0
PLA2G2C	2	0	0
UBXN10	71	0	0
VWA5B1	10	0	0
CAMK2N1	1116	63	3
MUL1	536	1	0
FAM43B	10	2	0
CDA	266	205	27
PINK1	1646	3	1
DDOST	2407	52	4
KIF17	276	2	0
SH2D5	1	0	0
HP1BP3	2336	67	2
EIF4G3	547	70	1
ECE1	6077	69	0
LOC100506801	17	0	0
NBPF3	34	0	0
ALPL	1754	377	58
RAP1GAP	47	5	0
USP48	573	4	0
LDLRAD2	23	0	0
HSPG2	412	4	2
CELA3B	0	0	0
CELA3A	0	0	0
LINC00339	246	3	0
CDC42	5466	588	45
WNT4	29	0	0
ZBTB40	517	10	0
EPHA8	0	0	0
C1QA	5820	170	27
C1QC	1324	433	54
C1QB	4219	503	68
EPHB2	74	13	0
MIR4684	0	0	0
MIR4253	0	0	0
KDM1A	1034	3	0
MIR3115	0	0	0
LUZP1	872	4	0
HTR1D	31	0	1
HNRNPR	2559	64	4
ZNF436	501	15	0
TCEA3	571	0	0
ASAP3	463	0	0
E2F2	22	0	0
ID3	4427	33	0
MDS2	0	0	0
RPL11	28399	879	87
